symbol,timeframe,timestamp,open,high,low,close,volume
BTCUSDT,15m,2026-06-04 23:00:00,63699.5,63829.9,63569.4,63569.4,117.6549
BTCUSDT,15m,2026-06-04 23:15:00,63569.6,63589.6,63341.0,63434.8,119.9101
BTCUSDT,15m,2026-06-04 23:30:00,63434.6,63765.0,63434.6,63733.0,110.5684
BTCUSDT,15m,2026-06-04 23:45:00,63733.2,63889.8,63658.9,63850.2,148.8260
BTCUSDT,15m,2026-06-05 00:00:00,63850.4,63850.4,63615.5,63627.9,84.8113
BTCUSDT,15m,2026-06-05 00:15:00,63632.9,63882.2,63560.0,63877.5,105.4918
BTCUSDT,15m,2026-06-05 00:30:00,63877.7,63949.9,63645.1,63665.3,136.9539
BTCUSDT,15m,2026-06-05 00:45:00,63665.3,63771.5,63363.0,63392.0,110.2673
BTCUSDT,15m,2026-06-05 01:00:00,63392.2,63392.2,63011.2,63329.4,307.9499
BTCUSDT,15m,2026-06-05 01:15:00,63329.4,63402.7,63108.6,63313.4,119.2011
BTCUSDT,15m,2026-06-05 01:30:00,63319.9,63539.8,63236.4,63411.3,95.8677
BTCUSDT,15m,2026-06-05 01:45:00,63411.5,63424.0,63212.5,63342.5,99.5746
BTCUSDT,15m,2026-06-05 02:00:00,63342.5,63424.0,63151.4,63153.3,80.6269
BTCUSDT,15m,2026-06-05 02:15:00,63151.4,63244.4,62668.4,62672.4,407.2650
BTCUSDT,15m,2026-06-05 02:30:00,62672.9,62929.6,62559.7,62704.1,274.4284
BTCUSDT,15m,2026-06-05 02:45:00,62704.7,62835.0,62564.2,62587.5,166.7330
BTCUSDT,15m,2026-06-05 03:00:00,62587.3,62626.5,62300.2,62349.0,423.1805
BTCUSDT,15m,2026-06-05 03:15:00,62344.3,62791.5,62344.3,62565.2,334.0125
BTCUSDT,15m,2026-06-05 03:30:00,62566.1,62871.3,62554.5,62636.9,242.0975
BTCUSDT,15m,2026-06-05 03:45:00,62636.7,62828.2,62621.9,62699.0,131.2493
BTCUSDT,15m,2026-06-05 04:00:00,62701.4,62948.7,62456.4,62830.0,270.1090
BTCUSDT,15m,2026-06-05 04:15:00,62837.6,63210.4,62619.1,63210.4,333.7399
BTCUSDT,15m,2026-06-05 04:30:00,63210.4,63210.4,62956.3,62993.4,172.8221
BTCUSDT,15m,2026-06-05 04:45:00,62992.3,63621.5,62827.9,63583.4,371.1202
BTCUSDT,15m,2026-06-05 05:00:00,63583.5,63659.5,63309.2,63351.9,295.2166
BTCUSDT,15m,2026-06-05 05:15:00,63352.1,63534.5,63247.6,63480.4,167.6756
BTCUSDT,15m,2026-06-05 05:30:00,63480.1,63532.6,62852.0,62859.5,317.0106
BTCUSDT,15m,2026-06-05 05:45:00,62860.1,62945.1,62243.0,62296.7,670.7386
BTCUSDT,15m,2026-06-05 06:00:00,62298.2,62600.0,61945.0,62048.9,805.9164
BTCUSDT,15m,2026-06-05 06:15:00,62049.1,62224.3,60807.0,61637.1,1799.9859
BTCUSDT,15m,2026-06-05 06:30:00,61642.3,62162.0,61610.1,62119.8,812.3240
BTCUSDT,15m,2026-06-05 06:45:00,62119.0,62166.4,61753.7,61919.0,381.9552
BTCUSDT,15m,2026-06-05 07:00:00,61917.2,61955.4,61343.3,61462.4,435.4661
BTCUSDT,15m,2026-06-05 07:15:00,61462.4,62330.0,61461.3,62224.0,671.9081
BTCUSDT,15m,2026-06-05 07:30:00,62223.9,62860.6,62154.4,62849.4,1437.3249
BTCUSDT,15m,2026-06-05 07:45:00,62849.4,63079.3,62738.0,63074.1,526.7043
BTCUSDT,15m,2026-06-05 08:00:00,63073.9,63079.5,62675.3,62775.6,410.1417
BTCUSDT,15m,2026-06-05 08:15:00,62775.5,62839.6,62550.0,62774.3,214.5603
BTCUSDT,15m,2026-06-05 08:30:00,62780.6,62891.2,62482.0,62501.4,214.5283
BTCUSDT,15m,2026-06-05 08:45:00,62501.2,62582.4,62250.0,62429.5,246.6103
BTCUSDT,15m,2026-06-05 09:00:00,62431.0,63065.9,62406.7,63065.9,330.6609
BTCUSDT,15m,2026-06-05 09:15:00,63068.8,63222.7,62868.5,63079.3,509.4993
BTCUSDT,15m,2026-06-05 09:30:00,63083.7,63100.0,62739.1,62786.5,179.2466
BTCUSDT,15m,2026-06-05 09:45:00,62786.5,62965.6,62766.8,62829.7,111.6602
BTCUSDT,15m,2026-06-05 10:00:00,62829.7,62907.1,62614.9,62720.4,123.8289
